File,Reference Count,References,Circular,Recommendation
"/Users/ash/Studio/tour-operator/wp-content/themes/block-theme-scaffold/AGENTS.md",0,"",NO,OK
"/Users/ash/Studio/tour-operator/wp-content/themes/block-theme-scaffold/CHANGELOG.md",0,"",NO,OK
"/Users/ash/Studio/tour-operator/wp-content/themes/block-theme-scaffold/CONTRIBUTING.md",0,"",NO,OK
"/Users/ash/Studio/tour-operator/wp-content/themes/block-theme-scaffold/DEVELOPMENT.md",0,"",NO,OK
"/Users/ash/Studio/tour-operator/wp-content/themes/block-theme-scaffold/ISSUES_REPORT.md",0,"",NO,OK
"/Users/ash/Studio/tour-operator/wp-content/themes/block-theme-scaffold/README.md",0,"",NO,OK
"/Users/ash/Studio/tour-operator/wp-content/themes/block-theme-scaffold/SECURITY.md",0,"",NO,OK
"/Users/ash/Studio/tour-operator/wp-content/themes/block-theme-scaffold/SUPPORT.md",0,"",NO,OK
"/Users/ash/Studio/tour-operator/wp-content/themes/block-theme-scaffold/docs/GENERATE_THEME.md",0,"",NO,OK
"/Users/ash/Studio/tour-operator/wp-content/themes/block-theme-scaffold/docs/RELEASE_PROCESS.md",0,"",NO,OK
"/Users/ash/Studio/tour-operator/wp-content/themes/block-theme-scaffold/docs/RELEASE_PROCESS_SCAFFOLD.md",0,"",NO,OK
"/Users/ash/Studio/tour-operator/wp-content/themes/block-theme-scaffold/docs/plans/2025-12-12-generator-logging-schema-cleanup-design.md",0,"",NO,OK
"/Users/ash/Studio/tour-operator/wp-content/themes/block-theme-scaffold/docs/plans/2025-12-15-implementation-plan.md",0,"",NO,OK
"/Users/ash/Studio/tour-operator/wp-content/themes/block-theme-scaffold/screenshot.png.md",0,"",NO,OK
"/Users/ash/Studio/tour-operator/wp-content/themes/block-theme-scaffold/scripts/__tests__/test-audit/test.md",5,"file1.md; file2.md; file3.md; file4.md; file5.md",NO,REVIEW
